id,nome,sobrenome,data_nascimento,cpf,email,rg
1,Leandro,Barros,13/05/2076,822.491.193-41,leandro@uorak.com,328763652
2,Aurélio,Andrade,02/04/2076,271.188.613-16,aurelio@uorak.com,244677384
3,Marcos,Bezerra,06/08/1974,236.847.857-41,marcos@uorak.com,319154518
4,Júnior,Cardoso,09/02/2039,134.209.684-34,junior@uorak.com,421755647
5,Guilherme,Esteves,08/01/2022,980.515.471-87,guilherme@uorak.com,341256237
6,Murilo,Aguiar,28/01/2022,665.107.813-52,murilo@uorak.com,341717472
7,Laís,Vidal,01/09/1990,116.348.345-18,lais@uorak.com,261225601
8,Áurea ,Pacheco,10/04/2045,035.825.947-93,aurea@uorak.com,116202403
9,Ângela,Padilha,12/11/1998,263.848.060-61,angela@uorak.com,472688121
10,Rosângela,Vargas,11/04/1986,713.328.611-48,rosangela@uorak.com,226188826
